profile,rate,req/s,out_tok/s,total_tok/s,TTFT_p50_ms,TTFT_p99_ms,TPOT_p50_ms,TPOT_p99_ms
short,1,0.993036988770844,254.21746912533607,1271.0873456266802,248.60834400033127,554.9493974902269,33.565573023529666,44.30001551905972
short,2,1.9694045825412705,504.16757313056524,2520.837865652826,291.32441799811204,911.4799657146068,55.433862464711886,74.72718173662467
short,4,2.5625438711083874,656.0112310037472,3280.056155018736,86708.97227400019,131206.61219619995,116.66833750196199,120.4446121864291
short,8,2.884513473489613,738.4354492133409,3692.177246066705,99110.08008950012,212300.83755200004,115.37111519804003,125.62187022529598
short,16,2.8911528200830565,740.1351219412625,3700.6756097063126,130163.06890199985,273403.4740545701,114.70437252548935,125.88938646815734
short,32,2.891010137462561,740.0985951904156,3700.4929759520783,145809.32262500026,304469.9934859002,114.67676647058825,125.49514724862738
short,inf,2.8804721383854504,737.4008674266753,3687.004337133377,162543.40455850025,336548.51582016953,114.77380933333288,125.59385481772325
medium,1,0.8300419227807919,424.98146446376546,3824.833180173889,94063.19496900005,185359.53666862016,153.46775373287608,155.85050140947143
medium,2,0.8392262686854471,429.68384956694894,3867.1546461025405,332821.56372800044,664472.0898083606,153.01558246379597,155.15998510702542
medium,4,0.8395681704294875,429.8589032598976,3868.7301293390783,458066.4331554999,912082.5427231805,152.96120692857264,155.09718507579288
medium,8,0.838908080457742,429.5209371943639,3865.6884347492755,521088.1363230001,1037018.0668252603,153.1104922074366,155.1845195533086
medium,16,0.8390227474120694,429.57964667497953,3866.216820074816,552527.4980424993,1098878.6801415903,153.0790517622309,155.23367223409088
medium,32,0.8388862568372875,429.5097635006912,3865.5878715062204,568215.6195594998,1130083.8424556705,153.091009376712,155.16920220385583
medium,inf,0.8383170076340499,429.21830790863356,3862.964771177702,585161.3648589991,1161617.2661321114,153.0652514823873,155.19942501604996
long,1,0.380661849674826,380.661849674826,3425.956647073434,773158.469334,1583345.6830200495,129.2893726926927,132.96032713224218
long,2,0.380651840003942,380.65184000394197,3425.8665600354775,1024209.1945129996,2079569.3547197215,129.3052372012035,132.97995629849999
long,4,0.3803960762472111,380.3960762472111,3423.5646862249,1150794.5910625004,2329395.1056046477,129.4037128688694,133.072117666675
long,8,0.38058276801001095,380.58276801001097,3425.2449120900983,1213093.7262939988,2452164.290273462,129.3374003968972,133.00697415369373
long,16,0.38046661407307475,380.46661407307477,3424.199526657673,1244920.2858675017,2514978.8736521187,129.3864272682675,133.05253808416307
long,32,0.380681199139898,380.681199139898,3426.130792259082,1259711.4546190023,2544528.0403071186,129.31517219469418,132.98028400173047
long,inf,0.38037498417893256,380.3749841789326,3423.3748576103935,1276151.0192550013,2577108.057440289,129.3613425065092,133.0227870703317
